name,type,guests,cabins,crew,Cabin Configuration,length,Builder,year,Cruising Speed,Beam,Draft,Gross Tonnage,model,Exterior Designer,Interior Design,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description,Owner & Guests
UTOPIA IV,Motor Yachts,12,6,13,"1 Master, 1 VIP, 3 Double, 1 Twin",63m / 206'8,Rossinavi Rossinavi,2018 | 2022 (Refitted),24 Knots,11m / 36'1,2.06m / 6'9,986 GT,Custom Custom,Team For Design,Team For Design,"$505,000 p/week + expenses","$505,000 p/week + expenses",,New England,"$505,000 p/week + expenses","$505,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts","Florida, Virgin Islands","The 62.7m/205'9"" 'Utopia IV' motor yacht built by the Italian shipyard Rossinavi is available for charter for up to 12 guests in 6 cabins. This multi-award winning  yacht  features interior styling by Italian designer Team For Design.",
APOGEE,Motor Yachts,12,6,17,"1 Master, 3 Double, 2 Twin",62.5m / 205'1,Codecasa Codecasa,2003 | 2023 (Refitted),11 Knots,11.2m / 36'9,3.8m / 12'6,"1,126 GT",Custom Custom,Codecasa,Della Role Design,"€360,000 p/week + expenses Approx $419,000","€390,000 p/week + expenses Approx $454,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Calvi, Corsica, French Riviera, Mykonos, Sardinia","$360,000 p/week + expenses","$390,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",,"The 62.5m/205'1"" motor yacht 'Apogee' by the Italian shipyard Codecasa offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Italian designer Della Role Design.",
AQUA MEKONG,Motor Yachts,40,20,44,"20 Double, 20 Convertible",62.4m / 204'9,Saigon Shipyard Co L Saigon Shipyard Co L,2014,8 Knots,11.5m / 37'9,1.5m / 4'11,"1,555 GT",Custom,,Noor Design,"$364,000 p/week + expenses","$364,000 p/week + expenses",South East Asia,,"$364,000 p/week + expenses","$401,000 p/week + expenses",South East Asia,,"The 62.4m/204'9"" motor yacht 'Aqua Mekong' by Saigon Shipyard Co Ltd offers flexible accommodation for up to 40 guests in 20 cabins and features interior styling by Noor Design.",
BATON ROUGE,Motor Yachts,12,7,18,"1 Master, 2 VIP, 2 Double, 2 Convertible",62.51m / 205'1,Icon Yachts Icon Yachts,2010,13 Knots,12.1m / 39'8,3.7m / 12'2,"1,423 GT",Custom Custom,Tim Heywood Design,RWD,"€420,000 p/week + expenses Approx $479,000","€455,000 p/week + expenses Approx $518,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","$475,000 p/week + expenses","$500,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"The 62.5m/205'1"" 'Baton Rouge' motor yacht built by the Dutch shipyard Icon Yachts is available for charter for up to 12 guests in 7 cabins. This  yacht  features interior styling by British designer RWD.",
LUCKY LADY,Motor Yachts,10,5,15,"1 Master, 3 Double, 1 Twin",62.61m / 205'5,Oceanco Oceanco,2002 | 2025 (Refitted),11 Knots,10.5m / 34'5,3.65m / 12',"1,083 GT",Custom Custom,The A Group,"Zuretti, Dietze, Oceanco","€310,000 p/week + expenses Approx $366,500","€355,000 p/week + expenses Approx $419,500","Mediterranean, Croatia,, France,, Italy,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Sardinia","$310,000 p/week + expenses","$355,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"Delivered from Oceanco in 2002, she has received multiple refits over the years, with the latest one seeing her finished to an exacting standard in 2022. The 63m/205ft motor yacht LUCKY LADY features a richly elegant interior and a striking exterior profile styled by The A Group.",
FOS,Motor Yachts,12,7,16,"1 Master, 6 Double",62.3m / 204'5,Feadship Feadship,2000 | 2022 (Refitted),12 Knots,10.8m / 35'5,3.29m / 10'10,"1,078 GT",Custom Custom,De Voogt,"RWD, Chahan Interior Design","€378,000 p/week + expenses Approx $442,000","€420,000 p/week + expenses Approx $491,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","$448,000 p/week + expenses","$476,000 p/week + expenses",,,"The multi-award winning 62.3m/204'5"" motor yacht 'FOS' (ex. Fortunato) by the Dutch shipyard Feadship offers flexible accommodation for up to 12 guests in 7 cabins and features interior styling by British designer RWD.",
VIRGINIAN,Motor Yachts,12,6,18,"1 Master, 2 Double, 3 Twin",62.25m / 204'3,Feadship Feadship,1990 | 2024 (Refitted),13 Knots,10.5m / 34'5,3.25m / 10'8,"1,027 GT",Custom Custom,De Voogt,David Easton,"€245,000 p/week + expenses Approx $279,500","€266,000 p/week + expenses Approx $303,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Calvi, Cannes, Corsica, French Riviera, Ibiza, Ligurian Riviera, Mallorca, Mykonos, Portofino, Santorini, Sardinia, St Tropez, The Balearics","€245,000 p/week + expenses Approx $279,500","€266,000 p/week + expenses Approx $303,000",,,"The 62.23m/204'2"" motor yacht 'Virginian' by the Dutch shipyard Feadship offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by David Easton.",
RIO,Motor Yachts,12,6,15,"1 Master, 2 VIP, 2 Double, 1 Twin",62m / 203'5,CRN Yachts CRN Yachts,2022,12 Knots,11.2m / 36'9,3.15m / 10'4,"1,190 GT",Custom Custom,Omega Architects,Pulina Exclusive Interiors,"€560,000 p/week + expenses Approx $657,000","€620,000 p/week + expenses Approx $727,500","Mediterranean, France,, Italy,, Malta,, Monaco","Amalfi Coast, Calvi, Cannes, Corsica, French Riviera, Ibiza, Ligurian Riviera, Mallorca, Portofino, Sardinia, St Tropez, The Balearics","$560,000 p/week + expenses","$620,000 p/week + expenses","Bermuda, Caribbean, Antigua,, Bahamas,, Cuba,, Saint Martin,, St Barts",Virgin Islands,"The 62m/203'5"" 'Rio' motor yacht built by the Italian shipyard CRN Yachts is available for charter for up to 12 guests in 6 cabins. This award winning  yacht  features interior styling by Italian designer Pulina Exclusive Interiors.",
ROMA,Motor Yachts,12,6,17,"1 Master, 4 Double, 1 Twin",62m / 203'5,Viareggio SuperYacht Viareggio SuperYacht,2010 | 2022 (Refitted),14 Knots,11m / 36'1,3m / 9'10,"1,090 GT",Custom Custom,Espen Oeino,Newcruise,"€370,000 p/week + expenses Approx $422,000","€420,000 p/week + expenses Approx $479,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics","€345,000 p/week + expenses Approx $393,500","€395,000 p/week + expenses Approx $450,500",,,"The 61.8m/202'9"" 'RoMa' motor yacht built by the Italian shipyard Viareggio SuperYachts is available for charter for up to 12 guests in 6 cabins. This  yacht  features interior styling by Newcruise.",
SEALION,Motor Yachts,12,6,18,"1 Master, 1 VIP, 2 Double, 2 Double/Twin",62m / 203'5,Viareggio SuperYacht Viareggio SuperYacht,2009 | 2023 (Refitted),15 Knots,11.02m / 36'2,3.2m / 10'6,"1,056 GT",Custom Custom,Espen Oeino,Candy & Candy,"€460,000 p/week + expenses Approx $524,500","€480,000 p/week + expenses Approx $547,000","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts, Mediterranean, Croatia,, France,, Italy,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Sardinia, Virgin Islands","$480,000 p/week + expenses","$500,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"A luxury yacht charter on board 203'5 /  62m Custom motor yacht 'Sealion' is a totally unique vacation experience thanks to a huge variety of amenities and a well-appointed, functional layout. The superyacht was launched in 2009 by Viareggio SuperYachts and her interior styling comes from Candy & Candy. Her exteriors are by the esteemed Espen Oeino.",
SEA OWL,Motor Yachts,12,7,18,,62m / 203'5,Feadship Feadship,2013,15 Knots,12.2m / 40',3.7m / 12'2,"1,494 GT",Custom Custom,Winch Design,Winch Design,"€440,000 p/week + expenses Approx $501,500","€480,000 p/week + expenses Approx $547,000","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"$440,000 p/week + expenses","$480,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",,"The 62m/203'5"" 'Sea Owl' motor yacht built by the Dutch shipyard Feadship is available for charter for up to 12 guests in 7 cabins. This award winning  yacht  features interior styling by British designer Winch Design.",
SORRENTO,Motor Yachts,12,6,13,"1 Master, 1 VIP, 3 Double, 1 Twin",62m / 203'5,Benetti Benetti,2010 | 2020 (Refitted),14 Knots,10.4m / 34'1,3.28m / 10'9,"1,026 GT",Custom Custom,Stefano Natucci,Massari Design,"€345,000 p/week + expenses Approx $393,500","€365,000 p/week + expenses Approx $416,000","Mediterranean, Croatia,, France,, Italy,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Sardinia","$345,000 p/week + expenses","$365,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"The 62m/203'5"" 'Sorrento' motor yacht built by the Italian shipyard Benetti is available for charter for up to 12 guests in 6 cabins. This  yacht  features interior styling by Italian designer Massari Design.",
CALYPSO,Motor Yachts,12,7,15,"1 Master, 1 VIP, 4 Double, 1 Convertible",61.5m / 201'9,Amels Amels,2003 | 2018 (Refitted),15 Knots,11.6m / 38'1,3.7m / 12'2,"1,150 GT",Custom Custom,Michael Leach,Michael Leach,"€345,000 p/week + expenses Approx $393,500","€395,000 p/week + expenses Approx $450,500","Mediterranean, Croatia,, France,, Italy,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Sardinia","$345,000 p/week + expenses","$395,000 p/week + expenses",,,"The 61.5m/201'9"" motor yacht 'Calypso' (ex. Solemar) by the Dutch shipyard Amels offers flexible accommodation for up to 12 guests in 7 cabins and features interior styling by Michael Leach.",
ESMERALDA,Motor Yachts,12,11,19,"1 Master, 3 Double, 7 Twin",61.5m / 201'9,Codecasa Codecasa,1981 | 2001 (Refitted),12 Knots,10m / 32'10,4.8m / 15'9,"1,002 GT",Custom Custom,Studio de Jorio,Studio de Jorio,"$230,000 p/week + expenses","$250,000 p/week + expenses","Mediterranean, Croatia,, France,, Italy,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Sardinia","$230,000 p/week + expenses","$250,000 p/week + expenses",,,"The 61.5m/201'9"" motor yacht 'Esmeralda' by the Italian shipyard Codecasa offers flexible accommodation for up to 12 guests in 11 cabins and features interior styling by Studio de Jorio.",
LEMON TREE,Motor Yachts,12,7,16,"1 Master, 1 VIP, 1 Double, 1 Twin, 1 Single, 2 Convertible",61.49m / 201'9,Sanlorenzo Sanlorenzo,2021,12 Knots,11.5m / 37'9,3.2m / 10'6,"1,280 GT",62Steel 62Steel,Mauro Micheli,"Francesco Paszkowski Design, Margherita Casprini","€485,000 p/week + expenses Approx $553,000","€560,000 p/week + expenses Approx $638,500","Mediterranean, Croatia,, France,, Italy,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Sardinia","$485,000 p/week + expenses","$560,000 p/week + expenses",,,"The 61.5m/201'9"" 'Lemon Tree' motor yacht built by the Italian shipyard Sanlorenzo is available for charter for up to 12 guests in 7 cabins. This  yacht  features interior styling by Italian designer Francesco Paszkowski Design.",
MARY-JEAN II,Motor Yachts,12,7,15,"1 Master, 1 VIP, 3 Double, 2 Twin, 2 Convertible, 2 Pullman",61.7m / 202'5,ISA Yachts ISA Yachts,2010 | 2023 (Refitted),14 Knots,12m / 39'4,3.66m / 12',"1,238 GT",ISA 600 ISA 600,Walter Franchini Architetto,Mark Berryman Design,"€320,000 p/week + expenses Approx $365,000","€375,000 p/week + expenses Approx $427,500","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Calvi, Corsica, French Riviera, Mykonos, Sardinia","$320,000 p/week + expenses","$375,000 p/week + expenses",Caribbean,Virgin Islands,"The award winning 61.7m/202'5"" motor yacht 'Mary-Jean II' by the Italian shipyard ISA Yachts offers flexible accommodation for up to 12 guests in 7 cabins and features interior styling by British designer Mark Berryman Design.",
KATHARINE,Motor Yachts,12,6,16,"1 Master, 1 VIP, 3 Double, 1 Twin",61.29m / 201'1,CRN Yachts CRN Yachts,2000 | 2021 (Refitted),12 Knots,11m / 36'1,3.5m / 11'6,"1,049 GT",Custom Custom,Studio Scanu srl,Zuretti,"€315,000 p/week + expenses Approx $359,000","€357,000 p/week + expenses Approx $407,000","Mediterranean, Croatia,, France,, Italy,, Monaco,, Montenegro","Amalfi Coast, Calvi, Corsica, French Riviera, Sardinia","$335,000 p/week + expenses","$375,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",,"The 61.3m/201'1"" motor yacht 'Katharine' (ex. New Sunrise) by the Italian shipyard CRN Yachts offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by French designer Zuretti.",
ARIENCE,Motor Yachts,12,7,16,"1 Master, 1 VIP, 3 Double, 2 Twin",60.93m / 199'11,Abeking & Rasmussen Abeking & Rasmussen,2012 | 2022 (Refitted),13 Knots,12.78m / 41'11,3.4m / 11'2,"1,632 GT",Custom Custom,Reymond Langton Design,Reymond Langton Design,"€595,000 p/week + expenses Approx $678,500","€595,000 p/week + expenses Approx $678,500","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","$650,000 p/week + expenses","$650,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"Built by Abeking & Rasmussen in 2012, the 196.85ft/60m Custom motor yacht 'Arience' features an interior and exterior designed by the highly acclaimed Reymond Langton Design.",
ITOTO,Motor Yachts,12,8,14,"1 Master, 4 Double, 4 Twin",61m / 200'2,Dauphin Yachts Dauphin Yachts,1987 | 2023 (Refitted),16 Knots,9.52m / 31'3,2.47m / 8'1,696 GT,Custom,Dauphin Yachts,,"€200,000 p/week + expenses Approx $228,000","€220,000 p/week + expenses Approx $251,000","Mediterranean, Greece",Mykonos,"€200,000 p/week + expenses Approx $228,000","€200,000 p/week + expenses Approx $228,000","Mediterranean, Greece",Mykonos,"The 61m/200'2"" 'Itoto' motor yacht built by shipyard Dauphin Yachts is available for charter for up to 12 guests in 8 cabins.",
LADY KATHRYN V,Motor Yachts,12,6,16,"1 Master, 1 VIP, 4 Double",61m / 200'2,Lurssen Lurssen,2011,12 Knots,11.43m / 37'6,3.55m / 11'8,"1,200 GT",Custom Custom,Espen Oeino,Adam Lay Studio,"€450,000 p/week + expenses Approx $513,000","€450,000 p/week + expenses Approx $513,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia","$450,000 p/week + expenses","$450,000 p/week + expenses","Bermuda, Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",,"The 61m/200'2"" motor yacht 'Lady Kathryn V' by the German shipyard Lurssen offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by British designer Adam Lay Studio.",
MARGUERITE,Motor Yachts,12,6,17,"1 Master, 1 VIP, 3 Double, 1 Twin",61.01m / 200'2,Lurssen Lurssen,2004 | 2021 (Refitted),14 Knots,12.34m / 40'6,3.73m / 12'3,"1,444 GT",Custom Custom,Winch Design,Winch Design,"€450,000 p/week + expenses Approx $513,000","€450,000 p/week + expenses Approx $513,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","$450,000 p/week + expenses","$450,000 p/week + expenses",,,The 61.26m/201' 'Marguerite' motor yacht built by the German shipyard Lurssen is available for charter for up to 12 guests in 6 cabins. This  yacht  features interior styling by British designer Winch Design.,
SAMADHI,Motor Yachts,12,5,16,"1 Master, 4 VIP",60.96m / 200',Feadship Feadship,2006 | 2024 (Refitted),13 Knots,10.9m / 35'9,3.3m / 10'10,"1,036 GT",Custom Custom,De Voogt,"Larvor, Janet Leroy","€380,000 p/week + expenses Approx $439,500","€425,000 p/week + expenses Approx $491,500","Northern Europe, Finland,, Norway",,"$360,000 p/week + expenses","$425,000 p/week + expenses",,,The multi-award winning 60.96m/200' motor yacht 'Samadhi' (ex. April Fool) by the Dutch shipyard Feadship offers flexible accommodation for up to 12 guests in 5 cabins and features interior styling by Larvor.,
TOP FIVE II,Motor Yachts,12,6,19,"1 Master, 1 VIP, 2 Double, 2 Double/Twin",61m / 200'2,Royal Hakvoort Royal Hakvoort,2021,12 Knots,11.2m / 36'9,3.33m / 10'11,"1,291 GT",Custom Custom,Sinot Yacht Architecture & Design,Sinot Yacht Architecture & Design,"$550,000 p/week + expenses","$600,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"$550,000 p/week + expenses","$600,000 p/week + expenses",,,"The 61m/200'2"" motor yacht 'Top Five II' by the Dutch shipyard Royal Hakvoort offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Dutch designer Sinot Yacht Architecture & Design.",
BLUE MOON,Motor Yachts,12,6,16,"1 Master, 3 Double, 2 Twin",60.35m / 198',Feadship Feadship,2005 | 2021 (Refitted),13 Knots,11.29m / 37',3.35m / 11',"1,102 GT",Custom Custom,Donald Starkey,Donald Starkey,"$395,000 p/week + expenses","$395,000 p/week + expenses",,New England,"$395,000 p/week + expenses","$425,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,The 60.35m/198' motor yacht 'Blue Moon' by the Dutch shipyard Feadship offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Donald Starkey.,
SAMURAI,Motor Yachts,12,6,15,"1 Master, 1 VIP, 3 Double, 1 Double/Twin",60.3m / 197'10,Alia Yacht Alia Yacht,2016 | 2019 (Refitted),15 Knots,11.44m / 37'6,3.35m / 11',"1,029 GT",Custom Custom,Omega Architects,RWD,"€425,000 p/week + expenses Approx $499,000","€455,000 p/week + expenses Approx $534,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","$441,000 p/week + expenses","$469,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",,"The 60.2m/197'6"" 'Samurai' motor yacht built by the Turkish shipyard Alia Yacht is available for charter for up to 12 guests in 6 cabins. This  yacht  features interior styling by British designer RWD.",
SARASTAR,Motor Yachts,12,6,15,"1 Master, 1 VIP, 3 Double, 1 Twin",60.2m / 197'6,Mondo Marine Mondo Marine,2017,12.5 Knots,10.75m / 35'3,2.9m / 9'6,973 GT,Custom,LUCA DINI Design & Architecture,LUCA DINI Design & Architecture,"€348,000 p/week + expenses Approx $396,500","€392,000 p/week + expenses Approx $447,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Calvi, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","€348,000 p/week + expenses Approx $396,500","€392,000 p/week + expenses Approx $447,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Calvi, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","The 60.2m/197'6"" motor yacht 'SaraStar' by the Italian shipyard Mondo Marine offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Italian designer LUCA DINI Design & Architecture.",
ALFA G,Motor Yachts,12,7,16,"1 Master, 1 VIP, 2 Double, 2 Twin, 1 Single",59.99m / 196'10,Oceanco Oceanco,2004 | 2024 (Refitted),12 Knots,10.5m / 34'5,3.89m / 12'9,"1,184 GT",Custom Custom,Winch Design,Alexandre Thiriat,"€400,000 p/week + expenses Approx $474,000","€400,000 p/week + expenses Approx $474,000","Mediterranean, Croatia,, Greece,, Italy,, Malta,, Montenegro,, Turkey","Amalfi Coast, Calvi, Cannes, Corsica, French Riviera, Ibiza, Mallorca, Mykonos, Santorini, Sardinia, St Tropez, The Balearics","€400,000 p/week + expenses Approx $474,000","€400,000 p/week + expenses Approx $474,000","Mediterranean, Croatia,, Greece,, Italy,, Malta,, Montenegro,, Turkey","Amalfi Coast, Calvi, Cannes, Corsica, French Riviera, Ibiza, Mallorca, Mykonos, Santorini, Sardinia, St Tropez, The Balearics","The 60m/196'10"" 'Alfa G' motor yacht built by the Dutch shipyard Oceanco is available for charter for up to 12 guests in 7 cabins. This multi-award winning  yacht  features interior styling by Alexandre Thiriat.",
BELLA VITA,Motor Yachts,12,6,15,"1 Master, 1 VIP, 4 Double",59.99m / 196'10,Lurssen Lurssen,2010 | 2024 (Refitted),12 Knots,11.43m / 37'6,3.5m / 11'6,"1,218 GT",Custom Custom,Espen Oeino,"Glade Johnson Design, Espen Oeino","€550,000 p/week + expenses Approx $652,000","€550,000 p/week + expenses Approx $652,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","$550,000 p/week + expenses","$550,000 p/week + expenses","Bermuda, Caribbean, Antigua,, Bahamas,, Cuba,, Saint Martin,, St Barts",Virgin Islands,"The 60m/196'10"" motor yacht 'Bella Vita' (ex. Solemates) by the German shipyard Lurssen offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Glade Johnson Design.",
CLELIA III,Motor Yachts,12,7,14,"1 Master, 1 VIP, 3 Double, 1 Twin, 1 Single",60m / 196'10,CRN Yachts CRN Yachts,2011 | 2019 (Refitted),12.5 Knots,10.2m / 33'6,3.6m / 11'10,998 GT,Custom Custom,Zuccon,"Laura Sessa Romboli, Zuccon","€350,000 p/week + expenses Approx $399,000","€399,000 p/week + expenses Approx $455,000","Mediterranean, Croatia,, France,, Italy,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Sardinia","$378,000 p/week + expenses","$420,000 p/week + expenses",,,"The 60m/196'10"" 'Clelia III' motor yacht built by the Italian shipyard CRN Yachts is available for charter for up to 12 guests in 7 cabins. This  yacht  features interior styling by Italian designer Laura Sessa Romboli.",
DREAM,Motor Yachts,12,7,15,"1 Master, 1 VIP, 2 Double, 2 Double/Twin, 1 Twin",59.99m / 196'10,Abeking & Rasmussen Abeking & Rasmussen,2001 | 2023 (Refitted),14 Knots,10.67m / 35',3.5m / 11'6,"1,093 GT",Custom Custom,Donald Starkey,Bannenberg & Rowell,"€420,000 p/week + expenses Approx $493,000","€450,000 p/week + expenses Approx $528,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","$430,000 p/week + expenses","$460,000 p/week + expenses","Indian Ocean, Maldives,, Seychelles",,"The multi-award winning 60m/196'10"" motor yacht 'Dream' (ex. Excellence III) by the German shipyard Abeking & Rasmussen offers flexible accommodation for up to 12 guests in 7 cabins and features interior styling by English designer Bannenberg & Rowell.",
ELENI,Motor Yachts,12,6,15,"1 Master, 1 VIP, 3 Double, 1 Twin",59.99m / 196'10,CRN Yachts CRN Yachts,2011 | 2014 (Refitted),14 Knots,10.2m / 33'6,3.1m / 10'2,984 GT,CRN 60 CRN 60,Zuccon,Negoescu,"€320,000 p/week + expenses Approx $375,500","€360,000 p/week + expenses Approx $422,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","€320,000 p/week + expenses Approx $375,500","€360,000 p/week + expenses Approx $422,000",,,"The 60m/196'10"" motor yacht 'Eleni' (ex. Light Holic) by the Italian shipyard CRN Yachts offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Negoescu.",
ENTOURAGE,Motor Yachts,12,6,12,"1 Master, 1 VIP, 4 Double/Twin",60m / 196'10,Amels Amels,2023,12 Knots,10.4m / 34'1,3.35m / 11',853 GT,Amels 60 Amels 60,Espen Oeino,Burdifilek,,,,,"$395,000 p/week + expenses","$435,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",,"The 60m/196'10"" motor yacht 'Entourage' is an excellent new superyacht for the luxury charter market. Delivered by the Dutch shipyard Amels  and featuring interior styling by Burdifilek this multi-award winning  yacht  can comfortably accommodate up to 12 guests in 6 cabins.",
FORMOSA,Motor Yachts,12,6,15,"1 Master, 5 Double",59.99m / 196'10,Benetti Benetti,2015 | 2025 (Refitted),14 Knots,10.6m / 34'9,3.37m / 11'1,"1,089 GT",Custom Custom,Benetti,Sinot Yacht Architecture & Design,"$470,000 p/week + expenses","$515,000 p/week + expenses","Bermuda, Caribbean, Antigua,, Bahamas,, Cuba,, Saint Martin,, St Barts",Virgin Islands,"$470,000 p/week + expenses","$515,000 p/week + expenses","Caribbean, Bahamas, Central America, Mexico",,"The 60m/196'10"" motor yacht 'Formosa' by the Italian shipyard Benetti offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Dutch designer Sinot Yacht Architecture & Design.",
GRACE,Motor Yachts,12,6,14,"1 Master, 4 Double, 1 Twin, 1 Convertible",59.99m / 196'10,Australian Yacht Bui Australian Yacht Bui,1991 | 2020 (Refitted),12 Knots,10.9m / 35'9,2.3m / 7'7,499 GT,Custom Custom,Glade Johnson Design,Paola D. Smith & Associates,"€300,000 p/week + expenses Approx $351,000","€330,000 p/week + expenses Approx $386,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Calvi, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","€300,000 p/week + expenses Approx $351,000","€330,000 p/week + expenses Approx $386,000",,Dubai,"The 58.5m/191'11"" 'Grace' (ex. FAM) motor yacht built by shipyard Australian Yacht Builders is available for charter for up to 12 guests in 6 cabins. This  yacht  features interior styling by Paola D. Smith & Associates.",
IRON BLONDE,Motor Yachts,12,7,15,"1 Master, 1 VIP, 3 Double, 1 Twin",60.15m / 197'4,Trinity Yachts Trinity Yachts,2014 | 2024 (Refitted),16 Knots,9.75m / 32',2.8m / 9'2,916 GT,Custom Custom,Trinity Yachts,Patrick Knowles,"€450,000 p/week + expenses Approx $529,000","€450,000 p/week + expenses Approx $529,000","South Pacific, Fiji,, French Polynesia,, Papua New Guinea,, Tahiti",,"$450,000 p/week + expenses","$450,000 p/week + expenses","South East Asia, Thailand",,"The 60.15m/197'4"" motor yacht 'Iron Blonde' by the American shipyard Trinity Yachts offers flexible accommodation for up to 12 guests in 7 cabins and features interior styling by Patrick Knowles.",
KAISER,Motor Yachts,12,6,16,"1 Master, 3 Double, 1 Double/Twin, 1 Twin",60m / 196'10,Abeking & Rasmussen Abeking & Rasmussen,2011,14 Knots,10.7m / 35'1,3.5m / 11'6,"1,090 GT",Custom Custom,Donald Starkey,Bannenberg & Rowell,"€500,000 p/week + expenses Approx $578,500","€550,000 p/week + expenses Approx $636,500",,,,,,,"The award winning 60m/196'10"" motor yacht 'Kaiser' by the German shipyard Abeking & Rasmussen offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by English designer Bannenberg & Rowell.",
