,name,type,guests,cabins,crew,Cabin Configuration,length,Builder,year,Cruising Speed,Beam,Draft,Gross Tonnage,model,Exterior Designer,Interior Design,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description,Owner & Guests
756,CHEETAH MOON,Motor Yachts,10.0,5.0,8.0,"1 Master, 2 Double, 2 Twin",38.6m / 126'8,Cantieri Navali Nico Cantieri Navali Nico,1986 | 2019 (Refitted),13.1 Knots,7.5m / 24'7,3m / 9'10,293 GT,Custom,Cantieri Navali Nicolini,H2 Yacht Design,"€65,000 p/week + expenses Approx $74,000","€75,000 p/week + expenses Approx $85,500","Mediterranean, France,, Italy,, Monaco","Calvi, Cannes, Corsica, French Riviera, Ibiza, Ligurian Riviera, Portofino, Sardinia, St Tropez, The Balearics","€65,000 p/week + expenses Approx $74,000","€75,000 p/week + expenses Approx $85,500","Mediterranean, France,, Italy,, Monaco","Calvi, Cannes, Corsica, French Riviera, Ibiza, Ligurian Riviera, Portofino, Sardinia, St Tropez, The Balearics",The 38.4m/126' motor yacht 'Cheetah Moon' by shipyard Cantieri Navali Nicolini offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by English designer H2 Yacht Design.,
757,CHERRY,Motor Yachts,9.0,4.0,3.0,"1 Master, 1 VIP, 2 Twin",25.55m / 83'10,Pershing Pershing,2023,42 Knots,5.86m / 19'3,1.4m / 4'7,73 GT,Pershing 8X Pershing 8X,Fulvio de Simoni,Fulvio de Simoni,"€54,000 p/week + expenses Approx $62,500","€65,000 p/week + expenses Approx $75,000","Mediterranean, France,, Monaco","Amalfi Coast, Calvi, Corsica, French Riviera, Ligurian Riviera, Sardinia, The Balearics","€54,000 p/week + expenses Approx $62,500","€65,000 p/week + expenses Approx $75,000","Mediterranean, France,, Monaco","Calvi, Corsica, French Riviera, Ligurian Riviera, Sardinia, The Balearics","The 25.55m/83'10"" motor yacht 'Cherry' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Pershing  and featuring interior styling by Italian designer Fulvio de Simoni she can comfortably accommodate up to 9 guests in 4 cabins.",
758,CHESS,Motor Yachts,8.0,4.0,3.0,"1 Master, 1 VIP, 2 Twin",25.3m / 83',Sunseeker Sunseeker,2005 | 2021 (Refitted),21 Knots,6.17m / 20'3,1.7m / 5'7,97 GT,82 Yacht 82 Yacht,Don Shead Yacht Design,Ken Freivokh,"€32,000 p/week + expenses Approx $37,500","€38,000 p/week + expenses Approx $44,500",,,"€32,000 p/week + expenses Approx $37,500","€38,000 p/week + expenses Approx $44,500",,,"The 25.25m/82'10"" 'Chess' motor yacht built by the British shipyard Sunseeker is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by British designer Ken Freivokh.",
759,CHICA BRAVA,Motor Yachts,4.0,2.0,2.0,2 Double,25.43m / 83'5,Wajer Wajer,2023,25 Knots,5.8m / 19',1.8m / 5'11,,Wajer 77 Wajer 77,,,"€57,250 p/week + expenses Approx $65,500","€61,750 p/week + expenses Approx $70,500",,"Calvi, Corsica, Ibiza, Mallorca, Sardinia, The Balearics","€52,750 p/week + expenses Approx $60,000","€52,750 p/week + expenses Approx $60,000",,"Calvi, Corsica, Ibiza, Mallorca, Sardinia, The Balearics","The 23.5m/77'1"" motor yacht 'Chica Brava' is an excellent new superyacht for the luxury charter market. Delivered by the Dutch shipyard Wajer  she can comfortably accommodate up to 4 guests in 2 cabins.",
760,CHILLAXIN',Motor Yachts,8.0,4.0,4.0,,27.48m / 90'2,Ocean Alexander Ocean Alexander,2021,18 Knots,6.83m / 22'5,1.96m / 6'5,198 GT,28R Enclosed 28R Enclosed,Evan K Marshall,Evan K Marshall,"$85,000 p/week + expenses","$85,000 p/week + expenses","Caribbean, Bahamas",,"$85,000 p/week + expenses","$95,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"The 28.17m/92'5"" 'Chillaxin'' motor yacht built by the American shipyard Ocean Alexander is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by British designer Evan K Marshall.",
761,CHILLI,Motor Yachts,8.0,4.0,2.0,"2 Double, 2 Twin",22m / 72'2,Baia Yachts Baia Yachts,2006 | 2022 (Refitted),32 Knots,5.7m / 18'8,1.05m / 3'5,75 GT,Custom,,,"€39,815 p/week + expenses Approx $45,500","€54,000 p/week + expenses Approx $61,500",,"Ibiza, Mallorca, The Balearics",,,,,"The 22m/72'2"" motor yacht 'Chilli' by shipyard Baia Yachts offers flexible accommodation for up to 8 guests in 4 cabins.",
762,CHILLIN',Motor Yachts,6.0,3.0,3.0,"1 Master, 1 VIP, 1 Double",25.9m / 85',Ocean Alexander Ocean Alexander,2012 | 2022 (Refitted),18 Knots,6.4m / 21',1.82m / 6',137 GT,85E 85E,Ed Monk Jr.,Evan K Marshall,"$52,500 p/week + expenses","$52,500 p/week + expenses",,,"$52,500 p/week + expenses","$52,500 p/week + expenses",,,The 25.9m/85' motor yacht 'Chillin'' by the American shipyard Ocean Alexander offers flexible accommodation for up to 6 guests in 3 cabins and features interior styling by British designer Evan K Marshall.,
763,CHILLIN',Motor Yachts,10.0,5.0,4.0,"1 Master, 2 VIP, 2 Twin",27m / 88'7,Azimut Azimut,2020 | 2023 (Refitted),22 Knots,6.59m / 21'7,1.93m / 6'4,145 GT,Grande 27M Grande 27M,Stefano Righini,Achille Salvagni,"€75,000 p/week + expenses Approx $88,000","€86,000 p/week + expenses Approx $101,000","Mediterranean, Croatia,, Montenegro",,"€75,000 p/week + expenses Approx $88,000","€75,000 p/week + expenses Approx $88,000","Mediterranean, Croatia,, Montenegro",,"The 26.78m/87'10"" motor yacht 'Chillin'' by the Italian shipyard Azimut offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Italian designer Achille Salvagni.",
764,CHILLS,Motor Yachts,8.0,4.0,4.0,,25.91m / 85',Azimut Azimut,2012,22 Knots,6.1m / 20',1.94m / 6'4,,Azimut 85 Ultimate Azimut 85 Ultimate,Stefano Righini,Carlo Galeazzi,"€24,500 p/week + expenses Approx $28,500","€28,000 p/week + expenses Approx $32,500",,,"€24,500 p/week + expenses Approx $28,500","€24,500 p/week + expenses Approx $28,500",,,"The 26.25m/86'1"" motor yacht 'Chills' by the Italian shipyard Azimut offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Carlo Galeazzi.",
765,CHILOE,Sailing Yachts,8.0,5.0,,,20.36m / 66'10,Fountaine Pajot Fountaine Pajot,2022,8 Knots,9.84m / 32'3,1.7m / 5'7,35 GT,Alegria 67 Alegria 67,,,"€44,800 p/week + expenses Approx $51,000","€50,800 p/week + expenses Approx $58,000",,"Ibiza, The Balearics",,,,,"The 20.36m/66'10"" sail yacht 'Chiloe' by the French shipyard Fountaine Pajot offers flexible accommodation for up to 8 guests in 5 cabins.",
766,CHIP,Motor Yachts,10.0,5.0,2.0,"1 Master, 2 VIP, 1 Double, 1 Twin",25.6m / 84',Lazzara Yachts Lazzara Yachts,2007,24 Knots,6.1m / 20',1.4m / 4'7,106 GT,84 Motor Yacht 84 Motor Yacht,Lazzara Yachts,Lazzara Yachts,"$41,000 p/week + expenses","$41,000 p/week + expenses",,,"$41,000 p/week + expenses","$41,000 p/week + expenses","Caribbean, Bahamas",Florida,The 25.6m/84' 'Chip' motor yacht built by shipyard Lazzara Yachts is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Lazzara Yachts.,
767,CHRISTAL MIO,Catamarans,12.0,6.0,5.0,,23.98m / 78'8,Fountaine Pajot Fountaine Pajot,2026,15 Knots,11.07m / 36'4,2.06m / 6'9,67 GT,Power 80 Power 80,,,"€70,000 p/week + expenses Approx $80,500","€90,000 p/week + expenses Approx $103,500","Mediterranean, Greece",,"€70,000 p/week + expenses Approx $80,500","€90,000 p/week + expenses Approx $103,500","Mediterranean, Greece",,The 24.38m/80' catamaran yacht 'Christal Mio' by the French shipyard Fountaine Pajot offers flexible accommodation for up to 12 guests in 6 cabins.,
768,CHRISTINA G,Motor Yachts,10.0,5.0,6.0,"1 Master, 2 Double, 2 Twin",33.56m / 110'1,Kingship Kingship,2010,10 Knots,7.9m / 25'11,2.4m / 7'10,,Kingship Magellan 110 Kingship Magellan 110,Vripack,Luiz de Basto Designs,"€89,000 p/week + expenses Approx $101,500","€105,000 p/week + expenses Approx $119,500","Mediterranean, Croatia,, Italy,, Malta,, Montenegro","Amalfi Coast, Corsica, Sardinia","€89,000 p/week + expenses Approx $101,500","€105,000 p/week + expenses Approx $119,500",,,"The 33.56m/110'1"" motor yacht 'Christina G' by shipyard Kingship offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by American designer Luiz de Basto Designs.",
769,CHRISTINA O,Classic Yachts,34.0,17.0,38.0,"1 Master, 2 VIP, 14 Convertible",99.13m / 325'3,Canadian Vickers Canadian Vickers,1943 | 2025 (Refitted),15 Knots,11.12m / 36'6,4.24m / 13'11,"1,802 GT",Custom Custom,Caesar Pinnau,Apostolos Molindris & Associates,"€700,000 p/week + expenses Approx $821,000","€740,000 p/week + expenses Approx $868,000","Bermuda, Caribbean, Antigua,, Bahamas,, Cuba,, Saint Martin,, St Barts, Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics, Virgin Islands","€740,000 p/week + expenses Approx $868,000","€740,000 p/week + expenses Approx $868,000",,,"The 99.15m/325'4"" classic yacht 'Christina O' by the Canadian shipyard Canadian Vickers offers flexible accommodation for up to 34 guests in 17 cabins and features interior styling by Apostolos Molindris & Associates.",
770,CHRISTINA V,Motor Yachts,12.0,6.0,15.0,"1 Master, 1 VIP, 2 Double, 2 Twin",59.31m / 194'7,Benetti Benetti,2009 | 2016 (Refitted),12 Knots,10.4m / 34'1,3.2m / 10'6,996 GT,Custom Custom,Stefano Natucci,Massari Design,"€320,000 p/week + expenses Approx $365,000","€340,000 p/week + expenses Approx $387,500","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia","$371,000 p/week + expenses","$392,000 p/week + expenses",,,"The 59.3m/194'7"" motor yacht 'Christina V' by the Italian shipyard Benetti offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Italian designer Massari Design.",
771,CHRONOS,Gulet Yachts,26.0,13.0,8.0,"11 Double, 2 Twin",54m / 177'2,Ark Yacht Ark Yacht,2013,11 Knots,9.7m / 31'10,4.25m / 13'11,333 GT,Custom Custom,,,"€84,000 p/week + expenses Approx $96,000","€92,000 p/week + expenses Approx $105,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Calvi, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","€84,000 p/week + expenses Approx $96,000","€92,000 p/week + expenses Approx $105,000","Caribbean, Antigua,, Saint Martin,, St Barts",Virgin Islands,"The 54.6m/179'2"" 'Chronos' gulet yacht built by shipyard Ark Yacht is available for charter for up to 26 guests in 13 cabins.",
772,CHURRI,Open Yachts,9.0,4.0,3.0,,27m / 88'7,Leopard Leopard,2005,26 Knots,6.05m / 19'10,1.7m / 5'7,95 GT,Leopard 27 Leopard 27,Andrea Bacigalupo,Arno,"$41,400 p/week + expenses","$47,400 p/week + expenses",,,"$51,000 p/week + expenses","$51,000 p/week + expenses",,,"The 27m/88'7"" open yacht 'Churri' by shipyard Leopard offers flexible accommodation for up to 9 guests in 4 cabins and features interior styling by Arno.",
773,CIKILA,Open Yachts,8.0,3.0,2.0,"1 Double, 2 Twin",23m / 75'6,Leopard Leopard,2000 | 2022 (Refitted),23 Knots,6.3m / 20'8,1.9m / 6'3,28 GT,Custom,,,"€22,000 p/week + expenses Approx $25,000","€24,500 p/week + expenses Approx $28,000","Mediterranean, Italy","Amalfi Coast, Sardinia",,,,,"The 23m/75'6"" open yacht 'Cikila' by shipyard Leopard offers flexible accommodation for up to 8 guests in 3 cabins.",
774,CINAR YILDIZI,Motor Yachts,11.0,5.0,6.0,"2 Master, 2 VIP, 1 Triple",27.99m / 91'10,Fethiye Shipyard Fethiye Shipyard,2021,9 Knots,7m / 23',2m / 6'7,149 GT,Custom Custom,,,"€28,000 p/week + expenses Approx $32,000","€45,500 p/week + expenses Approx $52,000","Mediterranean, Turkey",,"€28,000 p/week + expenses Approx $32,000","€28,000 p/week + expenses Approx $32,000","Mediterranean, Turkey",,"The 28m/91'10"" motor yacht 'Cinar Yildizi' by Fethiye Shipyard offers flexible accommodation for up to 11 guests in 5 cabins.",
775,CINQUE MARE,Motor Yachts,10.0,4.0,4.0,"1 Master, 1 VIP, 2 Twin",27.05m / 88'9,Ferretti Yachts Ferretti Yachts,2007 | 2022 (Refitted),20 Knots,6.73m / 22'1,2.18m / 7'2,93 GT,Ferretti 881 Ferretti 881,Zuccon,Giovanni Zucoon,"$37,000 p/week + expenses","$37,000 p/week + expenses",Caribbean,,"$42,000 p/week + expenses","$42,000 p/week + expenses",Caribbean,,"The 26.2m/85'11"" motor yacht 'Cinque Mare' by the Italian shipyard Ferretti Yachts offers flexible accommodation for up to 10 guests in 4 cabins and features interior styling by Giovanni Zucoon.",
776,CIRCUS,Motor Yachts,8.0,4.0,2.0,,23.99m / 78'8,Azimut Azimut,2004,29 Knots,5.9m / 19'4,1.81m / 5'11,,Azimut 80 Carat Azimut 80 Carat,Stefano Righini,,"$24,000 p/week + expenses","$34,000 p/week + expenses","Caribbean, Bahamas",Florida,"$24,000 p/week + expenses","$34,000 p/week + expenses","Caribbean, Bahamas",Florida,"The 23.99m/78'8"" motor yacht 'Circus' by the Italian shipyard Azimut offers flexible accommodation for up to 8 guests in 4 cabins.",
777,CIUTADELLA,Classic Yachts,6.0,3.0,2.0,,25.66m / 84'2,Esterel Esterel,1967 | 2018 (Refitted),14 Knots,5.1m / 16'9,2m / 6'7,76 GT,Custom Custom,,,"€28,000 p/week + expenses Approx $32,000","€35,000 p/week + expenses Approx $40,000","Mediterranean, France,, Italy,, Monaco","Corsica, French Riviera, Ibiza, Sardinia, The Balearics","€21,000 p/week + expenses Approx $24,000","€21,000 p/week + expenses Approx $24,000","Mediterranean, France,, Italy,, Monaco","Corsica, French Riviera, Ibiza, Sardinia, The Balearics","The 26.5m/86'11"" classic yacht 'Ciutadella' by shipyard Esterel offers flexible accommodation for up to 6 guests in 3 cabins.",
778,CLAIRE,Motor Yachts,8.0,4.0,4.0,"1 Master, 1 VIP, 2 Double/Twin",30.48m / 100',Hatteras Hatteras,2002 | 2023 (Refitted),16 Knots,6.9m / 22'8,1.9m / 6'3,193 GT,Hatteras 100 Motoryacht Hatteras 100 Motoryacht,Hargrave,Hargrave,"$50,000 p/week + expenses","$50,000 p/week + expenses","Caribbean, Bahamas",Florida,"$50,000 p/week + expenses","$50,000 p/week + expenses","Caribbean, Bahamas",Florida,The 30.48m/100' 'Claire' motor yacht built by the American shipyard Hatteras is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by American designer Hargrave.,
779,CLARA ONE,Classic Yachts,14.0,7.0,5.0,"1 Master, 1 Double, 5 Twin",32m / 105',Sarri Sarri,1961 | 2003 (Refitted),10 Knots,7.5m / 24'7,2.2m / 7'3,176 GT,Custom,The A Group,The A Group,"€38,000 p/week + expenses Approx $43,500","€38,000 p/week + expenses Approx $43,500",,,"€38,000 p/week + expenses Approx $43,500","€38,000 p/week + expenses Approx $43,500",,,The 32m/105' 'Clara One' classic yacht built by shipyard Sarri is available for charter for up to 14 guests in 7 cabins. This  yacht  features interior styling by The A Group.,
780,CLAREMONT,Motor Yachts,8.0,4.0,4.0,"1 Master, 3 Double",32m / 105',VBG Super Yachts VBG Super Yachts,2009 | 2015 (Refitted),20 Knots,6.8m / 22'4,1.4m / 4'7,109 GT,Custom,,,"€62,000 p/week + expenses Approx $73,000","€67,000 p/week + expenses Approx $78,500","Mediterranean, France,, Monaco",French Riviera,"€62,000 p/week + expenses Approx $73,000","€67,000 p/week + expenses Approx $78,500","Mediterranean, France,, Monaco",French Riviera,The 32m/105' 'Claremont' motor yacht built by shipyard VBG Super Yachts is available for charter for up to 8 guests in 4 cabins.,
781,CLARISSA,Sailing Yachts,8.0,4.0,4.0,"1 Master, 3 Double",30m / 98'5,Valena Yachting Valena Yachting,1999 | 2015 (Refitted),10 Knots,6.6m / 21'8,3m / 9'10,100 GT,Custom Custom,Arne Borghegn,Arne Borghegn,"€24,500 p/week + expenses Approx $28,000","€27,500 p/week + expenses Approx $31,500","Mediterranean, Croatia,, Montenegro,, Turkey",,"€24,500 p/week + expenses Approx $28,000","€27,500 p/week + expenses Approx $31,500","Mediterranean, Turkey",,"The 30m/98'5"" sail yacht 'Clarissa' by shipyard Valena Yachting offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Arne Borghegn.",
782,CLARITY,Motor Yachts,8.0,4.0,6.0,"1 Master, 2 Double, 1 Twin",31.6m / 103'8,Nedship Group Nedship Group,2003 | 2022 (Refitted),15 Knots,7.4m / 24'3,1.48m / 4'10,165 GT,Custom Custom,Dixon Yacht Design,Amanda Rosa,"€68,000 p/week + expenses Approx $79,500","€75,000 p/week + expenses Approx $87,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia",,,,,"The 31.6m/103'8"" motor yacht 'Clarity' by the Turkish shipyard Nedship Group offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Amanda Rosa.",
783,CLASE AZUL,Gulet Yachts,12.0,6.0,9.0,"1 Master, 1 VIP, 4 Double/Twin",48.24m / 158'3,Tramontana Tramontana,2022,9 Knots,8.4m / 27'7,2.63m / 8'8,350 GT,Custom Custom,Radez,NO.mad Design,"€85,000 p/week + expenses Approx $97,000","€102,000 p/week + expenses Approx $116,500","Mediterranean, Croatia,, Montenegro",,"€85,000 p/week + expenses Approx $97,000","€102,000 p/week + expenses Approx $116,500","Mediterranean, Croatia,, Montenegro",,"The 48.24m/158'3"" gulet yacht 'Clase Azul' by shipyard Tramontana offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by NO.mad Design.",
784,CLASS OF '77,Motor Yachts,6.0,3.0,3.0,,24.69m / 81',Broward Broward,1997 | 2005 (Refitted),14 Knots,5.59m / 18'4,1.68m / 5'6,97 GT,Custom,Broward,,"$22,000 p/week + expenses","$22,000 p/week + expenses",,New England,"$25,000 p/week + expenses","$28,750 p/week + expenses","Caribbean, Bahamas",Florida,The 24.69m/81' 'Class of '77' motor yacht built by shipyard Broward is available for charter for up to 6 guests in 3 cabins.,
785,CLEAR EYES,Gulet Yachts,10.0,5.0,8.0,"1 Master, 2 Double, 1 Twin, 2 Pullman",43m / 141'1,Pax Navi Yachts Pax Navi Yachts,2010,10 Knots,9m / 29'6,3.8m / 12'6,277 GT,Custom Custom,Pax Navi Yachts,Pax Navi Yachts,"€60,000 p/week + expenses Approx $68,500","€90,000 p/week + expenses Approx $102,500","Mediterranean, Croatia,, Greece,, Italy,, Montenegro,, Turkey","Amalfi Coast, Mykonos, Sardinia","€60,000 p/week + expenses Approx $68,500","€90,000 p/week + expenses Approx $102,500","Mediterranean, Croatia,, Greece,, Italy,, Montenegro,, Turkey","Amalfi Coast, Mykonos, Sardinia","The 43.1m/141'5"" gulet yacht 'Clear Eyes' by shipyard Pax Navi Yachts offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Pax Navi Yachts.",
786,CLELIA III,Motor Yachts,12.0,7.0,14.0,"1 Master, 1 VIP, 3 Double, 1 Twin, 1 Single",60m / 196'10,CRN Yachts CRN Yachts,2011 | 2019 (Refitted),12.5 Knots,10.2m / 33'6,3.6m / 11'10,998 GT,Custom Custom,Zuccon,"Laura Sessa Romboli, Zuccon","€350,000 p/week + expenses Approx $399,000","€399,000 p/week + expenses Approx $455,000","Mediterranean, Croatia,, France,, Italy,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Sardinia","$378,000 p/week + expenses","$420,000 p/week + expenses",,,"The 60m/196'10"" 'Clelia III' motor yacht built by the Italian shipyard CRN Yachts is available for charter for up to 12 guests in 7 cabins. This  yacht  features interior styling by Italian designer Laura Sessa Romboli.",
787,CLOUD ATLAS,Motor Yachts,12.0,5.0,9.0,"1 Master, 2 VIP, 2 Twin, 2 Pullman",46m / 150'11,Lloyds Ships Lloyds Ships,1990 | 2021 (Refitted),12 Knots,8.5m / 27'11,2.87m / 9'5,373 GT,Custom Custom,Phil Curran Design,Karim Hakin,"€140,000 p/week + expenses Approx $159,500","€170,000 p/week + expenses Approx $194,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","€140,000 p/week + expenses Approx $159,500","€170,000 p/week + expenses Approx $194,000",,,"Sporting a sleek silhouette and supremely modern interiors, the 151ft /46.02m custom motor yacht 'CLOUD' was built in 1990 by Lloyds Ships, and underwent an extensive refit in 2021. Her impeccably styled interiors have been penned by Karim Hakin and her exterior styling comes courtesy of Phil Curran Design.",
788,CLOUD IX,Motor Yachts,7.0,3.0,3.0,,23.75m / 77'11,Sanlorenzo Sanlorenzo,2019,16 Knots,6.6m / 21'8,1.65m / 5'5,74 GT,SX76 SX76,Officina Italiana Design,Marty Lowe,"€37,500 p/week + expenses Approx $43,000","€43,500 p/week + expenses Approx $49,500",,"Ibiza, The Balearics","€37,500 p/week + expenses Approx $43,000","€43,500 p/week + expenses Approx $49,500",,"Ibiza, The Balearics","The 23.75m/77'11"" motor yacht 'Cloud IX' by the Italian shipyard Sanlorenzo offers flexible accommodation for up to 7 guests in 3 cabins and features interior styling by American designer Marty Lowe.",
789,CLOUDY BAY,Motor Yachts,10.0,5.0,4.0,"1 Master, 2 VIP, 2 Twin",27m / 88'7,Azimut Azimut,2018,18 Knots,6.59m / 21'7,1.93m / 6'4,92 GT,Grande 27M Grande 27M,Stefano Righini,Achille Salvagni,"€80,000 p/week + expenses Approx $94,000","€85,000 p/week + expenses Approx $99,500",,"Ibiza, The Balearics","€80,000 p/week + expenses Approx $94,000","€85,000 p/week + expenses Approx $99,500",,,"The 26.78m/87'10"" 'Cloudy Bay' motor yacht built by the Italian shipyard Azimut is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Italian designer Achille Salvagni.",
790,COBRA KING,Gulet Yachts,12.0,5.0,6.0,"1 Master, 2 Double, 2 Triple",38.6m / 126'8,Cobra Yacht Cobra Yacht,2005 | 2017 (Refitted),12 Knots,8.2m / 26'11,2.7m / 8'10,,Custom,Cobra Yacht,Dara Kirmizitoprak,"€21,000 p/week + expenses Approx $25,000","€36,750 p/week + expenses Approx $43,500","Mediterranean, Croatia,, Montenegro,, Turkey",,"€21,000 p/week + expenses Approx $25,000","€26,250 p/week + expenses Approx $31,000","Mediterranean, Croatia,, Montenegro,, Turkey",,"The 38.6m/126'8"" 'Cobra King' gulet yacht built by shipyard Cobra Yacht is available for charter for up to 12 guests in 5 cabins. This  yacht  features interior styling by Dara Kirmizitoprak.",
791,COCA VI,Motor Yachts,6.0,3.0,3.0,,26.8m / 87'11,Leopard Leopard,2000 | 2014 (Refitted),20 Knots,6m / 19'8,2.3m / 7'7,80 GT,Leopard 26 Leopard 26,Paolo Caliari,Leopard,"€30,000 p/week + expenses Approx $34,000","€35,000 p/week + expenses Approx $40,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","€30,000 p/week + expenses Approx $34,000","€35,000 p/week + expenses Approx $40,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","The 26.8m/87'11"" 'Coca VI' motor yacht built by shipyard Leopard is available for charter for up to 6 guests in 3 cabins. This  yacht  features interior styling by Leopard.",
792,COCO,Motor Yachts,8.0,4.0,3.0,"1 Master, 1 VIP, 2 Double/Twin",25.29m / 83',Riva Riva,2025,24 Knots,6.08m / 19'11,2.05m / 6'9,90 GT,82' Diva 82' Diva,Officina Italiana Design,Officina Italiana Design,"€54,000 p/week + expenses Approx $63,000","€54,000 p/week + expenses Approx $63,000","Mediterranean, Italy,, Monaco","Calvi, Cannes, Corsica, French Riviera, Sardinia, St Tropez","$54,000 p/week + expenses","$54,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"The 25.29m/83' motor yacht 'Coco' offers the unmissable chance to charter a brand new superyacht, having only launched this year. Delivered by the Italian shipyard Riva  and featuring interior styling by Italian designer Officina Italiana Design she can comfortably accommodate up to 8 guests in 4 cabins.",
793,COCOA BEAN,Motor Yachts,12.0,6.0,19.0,"1 Master, 1 VIP, 2 Double, 2 Twin",73.99m / 242'9,Trinity Yachts Trinity Yachts,2014 | 2020 (Refitted),14.5 Knots,12.4m / 40'8,4m / 13'1,"1,590 GT",Custom Custom,Trinity Yachts,Evan K Marshall,"€550,000 p/week + expenses Approx $639,500","€650,000 p/week + expenses Approx $755,500","Mediterranean, Croatia,, France,, Italy,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Sardinia","€550,000 p/week + expenses Approx $639,500","€600,000 p/week + expenses Approx $697,500",,,The 73.76m/242' motor yacht 'Cocoa Bean' by the American shipyard Trinity Yachts offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by British designer Evan K Marshall.,
794,COCONUT,Sailing Yachts,6.0,3.0,3.0,"1 Master, 2 Double",24.38m / 80',Dynamiq Dynamiq,1991 | 2001 (Refitted),8 Knots,5.59m / 18'4,2.21m / 7'3,,Custom Custom,,,,,,,,,,,The 24.38m/80' 'Coconut' sail yacht built by the French shipyard Dynamiq is available for charter for up to 6 guests in 3 cabins.,
795,CODE 8,Motor Yachts,12.0,6.0,10.0,"1 Master, 3 VIP, 2 Twin",49.99m / 164',Benetti Benetti,1995 | 2016 (Refitted),14 Knots,8.9m / 29'2,2.62m / 8'7,496 GT,Golden Bay Series Golden Bay Series,Stefano Natucci,Zuretti,"$305,000 p/week + expenses","$305,000 p/week + expenses",,"Abu Dhabi, Dubai","$305,000 p/week + expenses","$305,000 p/week + expenses",,"Abu Dhabi, Dubai",The 49.99m/164' 'Code 8' motor yacht built by the Italian shipyard Benetti is available for charter for up to 12 guests in 6 cabins. This  yacht  features interior styling by French designer Zuretti.,
796,COFINA,Motor Yachts,12.0,6.0,7.0,,40.41m / 132'7,Benetti Benetti,2016 | 2023 (Refitted),12 Knots,8.18m / 26'10,2.23m / 7'4,346 GT,Classic Supreme 132' Classic Supreme 132',Stefano Righini,Zuretti,"$145,000 p/week + expenses","$145,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"$145,000 p/week + expenses","$145,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,The 40.24m/132' motor yacht 'Cofina' by the Italian shipyard Benetti offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by French designer Zuretti.,
797,COLIBRI,Catamarans,8.0,5.0,3.0,4 Double,20.37m / 66'10,Fountaine Pajot Fountaine Pajot,2024,8 Knots,9.84m / 32'3,1.7m / 5'7,35 GT,Alegria 67 Alegria 67,,,"$48,900 p/week + expenses","$59,400 p/week + expenses",,,"$48,900 p/week + expenses","$59,400 p/week + expenses",,,"The 20.36m/66'10"" catamaran yacht 'Colibri' is an excellent new superyacht for the luxury charter market. Delivered by the French shipyard Fountaine Pajot  she can comfortably accommodate up to 8 guests in 5 cabins.",
